carc wt,male,female,tr,ball_time,larva_time,egg_time,ball_success,hatching_success,success,broodsize,broodmass,clutchsize,avgmass,dispersal_time,ball,larva,egg,dispersal
21.91,8,56,control,23:00:00,7:00:00,15:00:00,1,1,1,28,7.1381,30,0.254932143,26/01/2024,2.333333333,4.666666667,1,10
26.16,17,1,control,23:00:00,23:00:00,15:00:00,1,1,1,29,6.3206,24,0.217951724,26/01/2024,2.333333333,5.333333333,2,10
22.76,12,57,control,23:00:00,,15:00:00,1,0,0,0,0,20,,,1.333333333,,3,
26.5,7,47,control,7:00:00,7:00:00,23:00:00,1,1,1,41,7.9427,25,0.19372439,26/01/2024,1.666666667,5.666666667,2.333333333,10
22.63,22,3,control,23:00:00,7:00:00,23:00:00,1,1,1,21,5.5123,16,0.262490476,26/01/2024,2.333333333,4.666666667,1.333333333,10
25.17,44,13,control,15:00:00,7:00:00,15:00:00,1,1,1,30,7.0143,35,0.23381,26/01/2024,2,4.666666667,1,10
22.89,53,33,control,23:00:00,7:00:00,15:00:00,1,1,1,28,6.7065,28,0.239517857,28/01/2024,2.333333333,4.666666667,1,12
25.12,59,28,control,15:00:00,15:00:00,15:00:00,1,1,1,7,2.0784,2,0.296914286,28/01/2024,3,5,1,12
22.48,60,18,control,7:00:00,7:00:00,15:00:00,1,1,1,30,6.3309,35,0.21103,26/01/2024,1.666666667,4.666666667,1,10
23.04,31,29,control,23:00:00,23:00:00,15:00:00,1,1,1,26,5.9049,46,0.227111538,26/01/2024,1.333333333,4.333333333,1,10
21.91,46,12,control,15:00:00,,,1,0,0,0,0,0,,,3,,,
27.49,37,26,control,19:00:00,7:00:00,15:00:00,1,1,1,2,0.6727,12,0.33635,26/01/2024,3.166666667,4.666666667,1,10
24.46,24,22,control,,,,0,0,0,0,0,0,,,,,,
22.52,48,17,control,19:00:00,7:00:00,7:00:00,1,1,1,24,5.7041,36,0.237670833,28/01/2024,3.166666667,5.666666667,1.666666667,12
25,44,6,control,23:00:00,23:00:00,15:00:00,1,1,1,21,5.4661,5,0.260290476,28/01/2024,2.333333333,5.333333333,1,12
22.75,18,62,control,23:00:00,23:00:00,15:00:00,1,1,1,21,6.3959,26,0.304566667,26/01/2024,1.333333333,4.333333333,1,10
24.64,7,3,control,23:00:00,,23:00:00,1,0,0,0,0,1,,,1.333333333,,1.333333333,
24.25,3,41,control,23:00:00,7:00:00,15:00:00,1,1,1,36,6.176,45,0.171555556,28/01/2024,1.333333333,4.666666667,1,12
27.08,27,7,control,23:00:00,23:00:00,15:00:00,1,1,1,37,7.9902,37,0.215951351,26/01/2024,2.333333333,4.333333333,1,10
23.8,29,27,control,23:00:00,7:00:00,23:00:00,1,1,1,36,7.6933,36,0.213702778,26/01/2024,1.333333333,4.666666667,1.333333333,10
27.31,41,49,control,7:00:00,,15:00:00,1,0,0,0,0,2,,,2.666666667,,2,
27.86,44,58,control,23:00:00,7:00:00,15:00:00,1,1,1,32,7.9224,46,0.247575,26/01/2024,2.333333333,4.666666667,1,10
24.52,58,63,control,23:00:00,23:00:00,15:00:00,1,1,1,37,7.3923,40,0.199791892,25/01/2024,2.333333333,4.333333333,1,9
28.01,62,13,control,23:00:00,15:00:00,15:00:00,1,1,1,37,7.1883,50,0.194278378,26/01/2024,2.333333333,4,1,10
25.48,63,13,control,15:00:00,23:00:00,15:00:00,1,1,1,41,9.207,39,0.224560976,26/01/2024,2,4.333333333,1,10
25.37,61,13,control,23:00:00,,15:00:00,1,0,0,0,0,10,,,2.333333333,,1,
29.29,12,24,control,23:00:00,23:00:00,15:00:00,1,1,1,27,7.2658,32,0.269103704,25/01/2024,2.333333333,4.333333333,1,9
26.54,11,53,control,23:00:00,23:00:00,7:00:00,1,1,1,26,8.2315,38,0.316596154,26/01/2024,2.333333333,4.333333333,0.666666667,10
23.14,37,61, +2°C,15:00:00,15:00:00,15:00:00,1,1,1,3,0.8481,5,0.2827,25/01/2024,2,6,1,10
21.31,19,37, +2°C,15:00:00,7:00:00,7:00:00,1,1,1,20,4.7042,38,0.23521,25/01/2024,2,4.666666667,1.666666667,10
20.59,48,26, +2°C,23:00:00,23:00:00,15:00:00,1,1,1,14,3.5579,18,0.254135714,25/01/2024,3.333333333,5.333333333,1,10
28.31,60,15, +2°C,15:00:00,,7:00:00,1,0,0,0,0,18,,,2,,0.666666667,
26.25,35,52, +2°C,15:00:00,,7:00:00,1,0,0,0,0,43,,,2,,0.666666667,
25.5,3,15, +2°C,23:00:00,,,1,0,0,0,0,0,,,2.333333333,,,
28.86,14,34, +2°C,15:00:00,,7:00:00,1,0,0,0,0,6,,,3,,0.666666667,
23.73,29,18, +2°C,15:00:00,7:00:00,23:00:00,1,1,0,0,0,8,,,2,5.666666667,1.333333333,
28.57,52,48, +2°C,15:00:00,,7:00:00,1,0,0,0,0,11,,,3,,0.666666667,
25.9,56,35, +2°C,7:00:00,15:00:00,15:00:00,1,1,1,29,5.6076,24,0.193365517,25/01/2024,2.666666667,5,2,10
27.26,46,19, +2°C,,,,0,0,0,0,0,0,,,,,,
23.98,48,11, +2°C,15:00:00,23:00:00,15:00:00,1,1,1,19,4.6385,22,0.244131579,25/01/2024,2,4.333333333,1,10
25.1,52,6, +2°C,15:00:00,15:00:00,23:00:00,1,1,0,0,0,5,,,3,5,1.333333333,
27.81,56,3, +2°C,15:00:00,7:00:00,23:00:00,1,1,0,0,0,7,,,2,5.666666667,1.333333333,
26.11,44,29, +2°C,7:00:00,23:00:00,23:00:00,1,1,1,6,1.7702,29,0.295033333,25/01/2024,2.666666667,4.333333333,1.333333333,10
25.71,11,7, +2°C,15:00:00,23:00:00,15:00:00,1,1,1,21,5.3916,30,0.256742857,25/01/2024,2,4.333333333,1,10
27.61,3,63, +2°C,7:00:00,23:00:00,15:00:00,1,1,1,27,6.0088,15,0.222548148,26/01/2024,2.666666667,5.333333333,1,11
24.32,29,26, +2°C,15:00:00,,7:00:00,1,0,0,0,0,1,,,3,,3.666666667,
25.35,57,6, +2°C,11:00:00,,15:00:00,1,0,0,0,0,4,,,1.833333333,,1,
23.08,49,8, +2°C,,,,0,0,0,0,0,0,,,,,,
27.24,47,14, +2°C,23:00:00,,,1,0,0,0,0,0,,,3.333333333,,,
26.89,13,30, +2°C,7:00:00,7:00:00,15:00:00,1,1,1,19,5.8107,36,0.305826316,25/01/2024,1.666666667,4.666666667,1,10
22.79,48,6, +2°C,23:00:00,,15:00:00,1,0,0,0,0,2,,,2.333333333,,3,
26.65,58,31, +2°C,15:00:00,23:00:00,7:00:00,1,1,1,24,5.8091,17,0.242045833,25/01/2024,2,6.333333333,1.666666667,10
24.71,48,59, +2°C,15:00:00,,,1,0,0,0,0,0,,,3,,,
28.86,53,62, +4°C,,,,0,0,0,0,0,0,,,,,,
28.78,12,57, +4°C,,,,0,0,0,0,0,0,,,,,,
28.75,46,31, +4°C,15:00:00,,15:00:00,1,0,0,0,0,10,,,2,,2,
26.71,61,24, +4°C,15:00:00,,15:00:00,1,0,0,0,0,3,,,2,,1,
28.63,33,11, +4°C,,,,0,0,0,0,0,0,,,,,,
27.96,24,33, +4°C,23:00:00,,7:00:00,1,0,0,0,0,8,,,2.333333333,,1.666666667,
22.52,11,12, +4°C,7:00:00,,,1,0,0,0,0,0,,,3.666666667,,,
28.97,25,53, +4°C,7:00:00,,19:00:00,1,0,0,0,0,5,,,2.666666667,,3.166666667,
29.21,36,63, +4°C,15:00:00,,15:00:00,1,0,0,0,0,2,,,2,,2,
26.51,59,41, +4°C,15:00:00,,7:00:00,1,0,0,0,0,8,,,2,,2.666666667,
29.13,19,22, +4°C,,,,0,0,0,0,0,0,,,,,,
27.68,49,25, +4°C,,,,0,0,0,0,0,0,,,,,,
23.71,58,35, +4°C,,,,0,0,0,0,0,0,,,,,,
27.09,6,17, +4°C,,,,0,0,0,0,0,0,,,,,,
27.58,31,36, +4°C,15:00:00,,15:00:00,1,0,0,0,0,8,,,2,,2,
28.45,56,37, +4°C,7:00:00,,23:00:00,1,0,0,0,0,20,,,2.666666667,,1.333333333,
28.68,26,48, +4°C,7:00:00,,15:00:00,1,0,0,0,0,9,,,2.666666667,,1,
24.02,57,28, +4°C,7:00:00,,15:00:00,1,0,0,0,0,14,,,2.666666667,,2,
23.06,13,58, +4°C,7:00:00,,7:00:00,1,0,0,0,0,2,,,2.666666667,,3.666666667,
25.81,26,14, +4°C,15:00:00,,7:00:00,1,0,0,0,0,3,,,3,,0.666666667,
25.99,25,56, +4°C,,,,0,0,0,0,0,0,,,,,,
25.04,18,27, +4°C,15:00:00,,7:00:00,1,0,0,0,0,6,,,2,,2.666666667,
29.31,28,46, +4°C,,,,0,0,0,0,0,0,,,,,,
23,22,61, +4°C,7:00:00,,7:00:00,1,0,0,0,0,2,,,3.666666667,,2.666666667,
29.78,8,25, +4°C,15:00:00,,23:00:00,1,0,0,0,0,1,,,3,,1.333333333,
26.98,27,52, +4°C,23:00:00,,15:00:00,1,0,0,0,0,12,,,2.333333333,,2,
27.35,62,44, +4°C,,,,0,0,0,0,0,0,,,,,,
24.75,52,8, +4°C,7:00:00,,7:00:00,1,0,0,0,0,2,,,2.666666667,,1.666666667,
